"","Approved Symbol","Protein_Name","Chromosome","Chromosome band","UniProt ID(supplied by UniProt)","arm"
"37461","TRIM60P16","TRIM60P9Y","7","7p11.2",NA,"p"
"37462","TRIM60P17","TRIM61","7","7q11.21",NA,"q"
"37463","TRIM60P18","TRIM62","7","7q11.21",NA,"q"
"37464","TRIM60P19","TRIM63","13","13q21.32",NA,"q"
"37465","TRIM61","TRIM64","4","4q32.3","Q5EBN2","q"
"37466","TRIM62","TRIM64B","1","1p35.1","Q9BVG3","p"
"37467","TRIM63","TRIM64C","1","1p36.11","Q969Q1","p"
"37468","TRIM64","TRIM64DP","11","11q14.3","A6NGJ6","q"
"37469","TRIM64B","TRIM64EP","11","11q14.3","A6NI03","q"
"37470","TRIM64C","TRIM64FP","11","11p11.12","A6NLI5","p"
"37471","TRIM64DP","TRIM65","11","11q14.3",NA,"q"
"37472","TRIM64EP","TRIM66","11","11q14.3",NA,"q"
"37473","TRIM64FP","TRIM67","2","2q11.1",NA,"q"
"37474","TRIM65","TRIM68","17","17q25.1","Q6PJ69","q"
"37475","TRIM66","TRIM69","11","11p15.4","O15016","p"
"37476","TRIM67","TRIM7","1","1q42.2","Q6ZTA4","q"
"37477","TRIM68","TRIM71","11","11p15.4","Q6AZZ1","p"
"37478","TRIM69","TRIM72","15","15q15-q21","Q86WT6","q"
"37479","TRIM71","TRIM73","3","3p22.3","Q2Q1W2","p"
"37480","TRIM72","TRIM74","16","16p11.2","Q6ZMU5","p"
"37481","TRIM73","TRIM75P","7","7q11.23","Q86UV7","q"
"37482","TRIM74","TRIM77","7","7q11.23","Q86UV6","q"
"37483","TRIM75P","TRIM77BP","4","4q32.3","A6NK02","q"
"37484","TRIM77","TRIM78P","11","11q14.3","I1YAP6","q"
"37485","TRIM77BP","TRIM8","11","11p11.12",NA,"p"
"37486","TRIM78P","TRIM80P","11","11p15",NA,"p"
"37487","TRIM80P","TRIM9","17","17q25.1",NA,"q"
"37488","TRIML1","TRIML1","4","4q35.2","Q8N9V2","q"
"37489","TRIML2","TRIML2","4","4q35.2","Q8N7C3","q"
"37490","TRIO","TRIO","5","5p15.2","O75962","p"
"37491","TRIOBP","TRIOBP","22","22q13.1","Q9H2D6","q"
"37492","TRIP4","TRIP10","15","15q22.31","Q15650","q"
"37493","TRIP6","TRIP11","7","7q22.1","Q15654","q"
"37494","TRIP10","TRIP12","19","19p13.3","Q15642","p"
"37495","TRIP11","TRIP13","14","14q32.12","Q15643","q"
"37496","TRIP12","TRIP4","2","2q36.3","Q14669","q"
"37497","TRIP13","TRIP6","5","5p15.33","Q15645","p"
"37498","TRIQK","TRIQK","8","8q22.1","Q629K1","q"
"37499","TRIT1","TRIT1","1","1p34.2","Q9H3H1","p"
"37500","TRK-CTT1-1","TRK-CTT1-1","14","14",NA,""
"37501","TRK-CTT1-2","TRK-CTT1-2","15","15",NA,""
"37502","TRK-CTT2-1","TRK-CTT10-1","1","1",NA,""
"37503","TRK-CTT2-2","TRK-CTT11-1","5","5",NA,""
"37504","TRK-CTT2-3","TRK-CTT12-1","5","5q35.3",NA,"q"
"37505","TRK-CTT2-4","TRK-CTT13-1","6","6",NA,""
"37506","TRK-CTT2-5","TRK-CTT14-1","16","16",NA,""
"37507","TRK-CTT3-1","TRK-CTT15-1","16","16",NA,""
"37508","TRK-CTT4-1","TRK-CTT16-1","16","16",NA,""
"37509","TRK-CTT5-1","TRK-CTT2-1","16","16",NA,""
"37510","TRK-CTT6-1","TRK-CTT2-2","18","18",NA,""
"37511","TRK-CTT7-1","TRK-CTT2-3","1","1p36.13",NA,"p"
"37512","TRK-CTT8-1","TRK-CTT2-4","16","16",NA,""
"37513","TRK-CTT9-1","TRK-CTT2-5","5","5",NA,""
"37514","TRK-CTT10-1","TRK-CTT3-1","19","19",NA,""
"37515","TRK-CTT11-1","TRK-CTT4-1","19","19",NA,""
"37516","TRK-CTT12-1","TRK-CTT5-1","1","1p34.3",NA,"p"
"37517","TRK-CTT13-1","TRK-CTT6-1","1","1q24.1",NA,"q"
"37518","TRK-CTT14-1","TRK-CTT7-1","16","16p13.3",NA,"p"
"37519","TRK-CTT15-1","TRK-CTT8-1","11","11",NA,""
"37520","TRK-CTT16-1","TRK-CTT9-1","15","15q24.3",NA,"q"
"37521","TRK-TTT1-1","TRK-TTT1-1","16","16",NA,""
"37522","TRK-TTT2-1","TRK-TTT10-1","11","11",NA,""
"37523","TRK-TTT3-1","TRK-TTT11-1","1","1",NA,""
"37524","TRK-TTT3-2","TRK-TTT12-1","1","1",NA,""
"37525","TRK-TTT3-3","TRK-TTT13-1","6","6",NA,""
"37526","TRK-TTT3-4","TRK-TTT14-1","11","11q12.1",NA,"q"
"37527","TRK-TTT3-5","TRK-TTT15-1","17","17p13.1",NA,"p"
"37528","TRK-TTT4-1","TRK-TTT16-1","6","6",NA,""
"37529","TRK-TTT5-1","TRK-TTT17-1","11","11",NA,""
"37530","TRK-TTT6-1","TRK-TTT2-1","6","6",NA,""
"37531","TRK-TTT7-1","TRK-TTT3-1","6","6",NA,""
"37532","TRK-TTT8-1","TRK-TTT3-2","1","1",NA,""
"37533","TRK-TTT9-1","TRK-TTT3-3","6","6",NA,""
"37534","TRK-TTT10-1","TRK-TTT3-4","19","19q13.2",NA,"q"
"37535","TRK-TTT11-1","TRK-TTT3-5","12","12",NA,""
"37536","TRK-TTT12-1","TRK-TTT4-1","19","19",NA,""
"37537","TRK-TTT13-1","TRK-TTT5-1","6","6p22.1",NA,"p"
"37538","TRK-TTT14-1","TRK-TTT6-1","14","14q24.3",NA,"q"
"37539","TRK-TTT15-1","TRK-TTT7-1","2","2q36.1",NA,"q"
"37540","TRK-TTT16-1","TRK-TTT8-1","19","19",NA,""
"37541","TRK-TTT17-1","TRK-TTT9-1","8","8p22",NA,"p"
"37542","TRL-AAG1-1","TRL-AAG1-1","5","5",NA,""
"37543","TRL-AAG1-2","TRL-AAG1-2","5","5",NA,""
"37544","TRL-AAG1-3","TRL-AAG1-3","5","5",NA,""
"37545","TRL-AAG2-1","TRL-AAG2-1","5","5",NA,""
"37546","TRL-AAG2-2","TRL-AAG2-2","6","6",NA,""
"37547","TRL-AAG2-3","TRL-AAG2-3","14","14q11.2",NA,"q"
"37548","TRL-AAG2-4","TRL-AAG2-4","16","16",NA,""
"37549","TRL-AAG3-1","TRL-AAG3-1","6","6",NA,""
"37550","TRL-AAG4-1","TRL-AAG4-1","6","6",NA,""
"37551","TRL-AAG5-1","TRL-AAG5-1","2","2",NA,""
"37552","TRL-AAG6-1","TRL-AAG6-1","20","20",NA,""
"37553","TRL-AAG7-1","TRL-AAG7-1","5","5q35.3",NA,"q"
"37554","TRL-AAG8-1","TRL-AAG8-1","3","3",NA,""
"37555","TRL-CAA1-1","TRL-CAA1-1","6","6",NA,""
"37556","TRL-CAA1-2","TRL-CAA1-2","6","6",NA,""
"37557","TRL-CAA2-1","TRL-CAA2-1","6","6",NA,""
"37558","TRL-CAA3-1","TRL-CAA3-1","6","6",NA,""
"37559","TRL-CAA4-1","TRL-CAA4-1","1","1",NA,""
"37560","TRL-CAA5-1","TRL-CAA5-1","11","11",NA,""
"37561","TRL-CAA6-1","TRL-CAA6-1","1","1",NA,""
"37562","TRL-CAA7-1","TRL-CAA7-1","10","10p11.21",NA,"p"
"37563","TRL-CAG1-1","TRL-CAG1-1","1","1",NA,""
"37564","TRL-CAG1-2","TRL-CAG1-2","1","1",NA,""
"37565","TRL-CAG1-3","TRL-CAG1-3","1","1",NA,""
"37566","TRL-CAG1-4","TRL-CAG1-4","1","1",NA,""
"37567","TRL-CAG1-5","TRL-CAG1-5","1","1",NA,""
"37568","TRL-CAG1-6","TRL-CAG1-6","1","1",NA,""
"37569","TRL-CAG1-7","TRL-CAG1-7","6","6",NA,""
"37570","TRL-CAG2-1","TRL-CAG2-1","16","16",NA,""
"37571","TRL-CAG2-2","TRL-CAG2-2","16","16",NA,""
"37572","TRL-CAG3-1","TRL-CAG3-1","5","5",NA,""
"37573","TRL-TAA1-1","TRL-TAA1-1","6","6",NA,""
"37574","TRL-TAA2-1","TRL-TAA2-1","6","6",NA,""
"37575","TRL-TAA3-1","TRL-TAA3-1","11","11",NA,""
"37576","TRL-TAA4-1","TRL-TAA4-1","6","6",NA,""
"37577","TRL-TAA5-1","TRL-TAA5-1","6","6",NA,""
"37578","TRL-TAG1-1","TRL-TAG1-1","17","17p13.1",NA,"p"
"37579","TRL-TAG2-1","TRL-TAG2-1","14","14",NA,""
"37580","TRL-TAG3-1","TRL-TAG3-1","16","16",NA,""
"37581","TRL-TAG4-1","TRL-TAG4-1","14","14q11.2",NA,"q"
"37582","TRM-CAT1-1","TRM-CAT1-1","8","8",NA,""
"37583","TRM-CAT2-1","TRM-CAT2-1","16","16",NA,""
"37584","TRM-CAT3-1","TRM-CAT3-1","6","6",NA,""
"37585","TRM-CAT3-2","TRM-CAT3-2","6","6",NA,""
"37586","TRM-CAT4-1","TRM-CAT4-1","6","6",NA,""
"37587","TRM-CAT4-2","TRM-CAT4-2","6","6",NA,""
"37588","TRM-CAT4-3","TRM-CAT4-3","6","6",NA,""
"37589","TRM-CAT5-1","TRM-CAT5-1","6","6",NA,""
"37590","TRM-CAT6-1","TRM-CAT6-1","16","16",NA,""
"37591","TRM-CAT7-1","TRM-CAT7-1","6","6",NA,""
"37592","TRMO","TRMO","9","9q22.33","Q9BU70","q"
"37593","TRMT1","TRMT1","19","19p13.13","Q9NXH9","p"
"37594","TRMT1L","TRMT10A","1","1q25.3","Q7Z2T5","q"
"37595","TRMT2A","TRMT10B","22","22q11.21","Q8IZ69","q"
"37596","TRMT2B","TRMT10BP1","X","Xq22.1","Q96GJ1","q"
"37597","TRMT2B-AS1","TRMT10C","X","Xq22.1",NA,"q"
"37598","TRMT5","TRMT11","14","14q23.1","Q32P41","q"
"37599","TRMT6","TRMT112","20","20p12.3","Q9UJA5","p"
"37600","TRMT10A","TRMT112P1","4","4q23","Q8TBZ6","q"
"37601","TRMT10B","TRMT112P2","9","9p13.2","Q6PF06","p"
"37602","TRMT10BP1","TRMT112P3","8","8q23.1",NA,"q"
"37603","TRMT10C","TRMT112P4","3","3q12.3","Q7L0Y3","q"
"37604","TRMT11","TRMT112P5","6","6q22.32","Q7Z4G4","q"
"37605","TRMT12","TRMT112P6","8","8q24.13","Q53H54","q"
"37606","TRMT13","TRMT112P7","1","1p21.2","Q9NUP7","p"
"37607","TRMT44","TRMT12","4","4p16.1","Q8IYL2","p"
"37608","TRMT61A","TRMT13","14","14q32","Q96FX7","q"
"37609","TRMT61B","TRMT1L","2","2p23.2","Q9BVS5","p"
"37610","TRMT112","TRMT2A","11","11q13.1","Q9UI30","q"
"37611","TRMT112P1","TRMT2B","4","4q26",NA,"q"
"37612","TRMT112P2","TRMT2B-AS1","5","5q14.1",NA,"q"
"37613","TRMT112P3","TRMT44","17","17q23.2",NA,"q"
"37614","TRMT112P4","TRMT5","9","9q31.1",NA,"q"
"37615","TRMT112P5","TRMT6","3","3q23",NA,"q"
"37616","TRMT112P6","TRMT61A","2","2p23.3",NA,"p"
"37617","TRMT112P7","TRMT61B","8","8q11.23",NA,"q"
"37618","TRMU","TRMU","22","22q13.31","O75648","q"
"37619","TRN-ATT1-1","TRN-ATT1-1","1","1",NA,""
"37620","TRN-ATT1-2","TRN-ATT1-2","1","1 not on reference assembly",NA,"y"
"37621","TRN-GTT1-1","TRN-GTT1-1","1","1",NA,""
"37622","TRN-GTT2-1","TRN-GTT10-1","1","1p36.1",NA,"p"
"37623","TRN-GTT2-2","TRN-GTT11-1","1","1",NA,""
"37624","TRN-GTT2-3","TRN-GTT11-2","10","10",NA,""
"37625","TRN-GTT2-4","TRN-GTT12-1","13","13",NA,""
"37626","TRN-GTT2-5","TRN-GTT13-1","17","17",NA,""
"37627","TRN-GTT2-6","TRN-GTT14-1","19","19",NA,""
"37628","TRN-GTT3-1","TRN-GTT15-1","1","1",NA,""
"37629","TRN-GTT3-2","TRN-GTT16-1","1","1",NA,""
"37630","TRN-GTT4-1","TRN-GTT16-2","1","1p36.13",NA,"p"
"37631","TRN-GTT5-1","TRN-GTT16-3","1","1",NA,""
"37632","TRN-GTT6-1","TRN-GTT16-4","1","1q21.1",NA,"q"
"37633","TRN-GTT7-1","TRN-GTT16-5","1","1",NA,""
"37634","TRN-GTT8-1","TRN-GTT17-1","1","1",NA,""
"37635","TRN-GTT9-1","TRN-GTT18-1","1","1",NA,""
"37636","TRN-GTT9-2","TRN-GTT19-1","1","1",NA,""
"37637","TRN-GTT10-1","TRN-GTT2-1","1","1q21.1",NA,"q"
"37638","TRN-GTT11-1","TRN-GTT2-2","1","1",NA,""
"37639","TRN-GTT11-2","TRN-GTT2-3","1","1",NA,""
"37640","TRN-GTT12-1","TRN-GTT2-4","1","1",NA,""
"37641","TRN-GTT13-1","TRN-GTT2-5","1","1",NA,""
"37642","TRN-GTT14-1","TRN-GTT2-6","1","1",NA,""
"37643","TRN-GTT15-1","TRN-GTT20-1","1","1",NA,""
"37644","TRN-GTT16-1","TRN-GTT21-1","1","1",NA,""
"37645","TRN-GTT16-2","TRN-GTT22-1","1","1",NA,""
"37646","TRN-GTT16-3","TRN-GTT23-1","1","1",NA,""
"37647","TRN-GTT16-4","TRN-GTT3-1","1","1",NA,""
"37648","TRN-GTT16-5","TRN-GTT3-2","1","1",NA,""
"37649","TRN-GTT17-1","TRN-GTT4-1","1","1",NA,""
"37650","TRN-GTT18-1","TRN-GTT5-1","1","1p36.13",NA,"p"
"37651","TRN-GTT19-1","TRN-GTT6-1","1","1",NA,""
"37652","TRN-GTT20-1","TRN-GTT7-1","1","1",NA,""
"37653","TRN-GTT21-1","TRN-GTT8-1","1","1",NA,""
"37654","TRN-GTT22-1","TRN-GTT9-1","1","1q21.2",NA,"q"
"37655","TRN-GTT23-1","TRN-GTT9-2","1","1q21.2",NA,"q"
"37656","TRNAU1AP","TRNAU1AP","1","1p35.3","Q9NX07","p"
"37657","TRNP1","TRNP1","1","1p36.11","Q6NT89","p"
"37658","TRNT1","TRNT1","3","3p26.2","Q96Q11","p"
"37659","TRO","TRO","X","Xp11.21","Q12816","p"
"37660","TROAP","TROAP","12","12q13.12","Q12815","q"
"37661","TROVE2","TROVE2","1","1q31.2","P10155","q"
"37662","TRP-AGG1-1","TRP-AGG1-1","16","16",NA,""
"37663","TRP-AGG2-1","TRP-AGG2-1","1","1",NA,""
"37664","TRP-AGG2-2","TRP-AGG2-2","6","6",NA,""
"37665","TRP-AGG2-3","TRP-AGG2-3","7","7",NA,""
"37666","TRP-AGG2-4","TRP-AGG2-4","11","11",NA,""
"37667","TRP-AGG2-5","TRP-AGG2-5","14","14q11.2",NA,"q"
"37668","TRP-AGG2-6","TRP-AGG2-6","14","14q11.2",NA,"q"
"37669","TRP-AGG2-7","TRP-AGG2-7","16","16",NA,""
"37670","TRP-AGG2-8","TRP-AGG2-8","16","16",NA,""
"37671","TRP-AGG3-1","TRP-AGG3-1","16","16",NA,""
"37672","TRP-AGG4-1","TRP-AGG4-1","2","2p11.2",NA,"p"
"37673","TRP-AGG5-1","TRP-AGG5-1","2","2p12",NA,"p"
"37674","TRP-AGG6-1","TRP-AGG6-1","16","16p13.3",NA,"p"
"37675","TRP-CGG1-1","TRP-CGG1-1","1","1",NA,""
"37676","TRP-CGG1-2","TRP-CGG1-2","16","16",NA,""
"37677","TRP-CGG1-3","TRP-CGG1-3","17","17",NA,""
"37678","TRP-CGG2-1","TRP-CGG2-1","6","6",NA,""
"37679","TRP-GGG1-1","TRP-GGG1-1","10","10p12.2",NA,"p"
"37680","TRP-TGG1-1","TRP-TGG1-1","14","14",NA,""
"37681","TRP-TGG2-1","TRP-TGG2-1","11","11",NA,""
"37682","TRP-TGG3-1","TRP-TGG3-1","5","5q35.3",NA,"q"
"37683","TRP-TGG3-2","TRP-TGG3-2","14","14",NA,""
"37684","TRP-TGG3-3","TRP-TGG3-3","16","16",NA,""
"37685","TRP-TGG3-4","TRP-TGG3-4","16","16",NA,""
"37686","TRP-TGG3-5","TRP-TGG3-5","16","16",NA,""
"37687","TRP-TGG4-1","TRP-TGG4-1","16","16p13.3",NA,"p"
"37688","TRP-TGG5-1","TRP-TGG5-1","1","1q32.1",NA,"q"
"37689","TRPA1","TRPA1","8","8q21.11","O75762","q"
"37690","TRPC1","TRPC1","3","3q23","P48995","q"
"37691","TRPC2","TRPC2","11","11p15.4",NA,"p"
"37692","TRPC3","TRPC3","4","4q27","Q13507","q"
"37693","TRPC4","TRPC4","13","13q13.3","Q9UBN4","q"
"37694","TRPC4AP","TRPC4AP","20","20q11.22","Q8TEL6","q"
"37695","TRPC5","TRPC5","X","Xq23","Q9UL62","q"
"37696","TRPC5OS","TRPC5OS","X","Xq23","A6NMA1","q"
"37697","TRPC6","TRPC6","11","11q22.1","Q9Y210","q"
"37698","TRPC6P","TRPC6P","X","Xq28 and Yq12",NA,"q"
"37699","TRPC7","TRPC7","5","5q31.1","Q9HCX4","q"
"37700","TRPC7-AS1","TRPC7-AS1","5","5q31.1",NA,"q"
"37701","TRPC7-AS2","TRPC7-AS2","5","5q31.1",NA,"q"
"37702","TRPM1","TRPM1","15","15q13.3","Q7Z4N2","q"
"37703","TRPM2","TRPM2","21","21q22.3","O94759","q"
"37704","TRPM2-AS","TRPM2-AS","21","21q22.3",NA,"q"
"37705","TRPM3","TRPM3","9","9q21.12-q21.13","Q9HCF6","q"
"37706","TRPM4","TRPM4","19","19q13.3","Q8TD43","q"
"37707","TRPM5","TRPM5","11","11p15.5","Q9NZQ8","p"
"37708","TRPM6","TRPM6","9","9q21.13","Q9BX84","q"
"37709","TRPM7","TRPM7","15","15q21.2","Q96QT4","q"
"37710","TRPM8","TRPM8","2","2q37.1","Q7Z2W7","q"
"37711","TRPS1","TRPS1","8","8q23.3","Q9UHF7","q"
"37712","TRPT1","TRPT1","11","11q13.1","Q86TN4","q"
"37713","TRPV1","TRPV1","17","17p13.2","Q8NER1","p"
"37714","TRPV2","TRPV2","17","17p11.2","Q9Y5S1","p"
"37715","TRPV3","TRPV3","17","17p13.2","Q8NET8","p"
"37716","TRPV4","TRPV4","12","12q24.11","Q9HBA0","q"
"37717","TRPV5","TRPV5","7","7q34","Q9NQA5","q"
"37718","TRPV6","TRPV6","7","7q34","Q9H1D0","q"
"37719","TRQ-CTG1-1","TRQ-CTG1-1","6","6",NA,""
"37720","TRQ-CTG1-2","TRQ-CTG1-2","6","6",NA,""
"37721","TRQ-CTG1-3","TRQ-CTG1-3","6","6",NA,""
"37722","TRQ-CTG1-4","TRQ-CTG1-4","15","15",NA,""
"37723","TRQ-CTG1-5","TRQ-CTG1-5","17","17p13.1",NA,"p"
"37724","TRQ-CTG2-1","TRQ-CTG10-1","6","6",NA,""
"37725","TRQ-CTG3-1","TRQ-CTG11-1","1","1",NA,""
"37726","TRQ-CTG3-2","TRQ-CTG12-1","1","1",NA,""
"37727","TRQ-CTG4-1","TRQ-CTG13-1","1","1",NA,""
"37728","TRQ-CTG4-2","TRQ-CTG14-1","1","1",NA,""
"37729","TRQ-CTG5-1","TRQ-CTG15-1","6","6",NA,""
"37730","TRQ-CTG6-1","TRQ-CTG16-1","6","6",NA,""
"37731","TRQ-CTG7-1","TRQ-CTG17-1","1","1",NA,""
"37732","TRQ-CTG8-1","TRQ-CTG18-1","1","1",NA,""
"37733","TRQ-CTG8-2","TRQ-CTG2-1","1","1",NA,""
"37734","TRQ-CTG9-1","TRQ-CTG3-1","1","1q21.2",NA,"q"
"37735","TRQ-CTG10-1","TRQ-CTG3-2","1","1",NA,""
"37736","TRQ-CTG11-1","TRQ-CTG4-1","1","1q21.2",NA,"q"
"37737","TRQ-CTG12-1","TRQ-CTG4-2","12","12",NA,""
"37738","TRQ-CTG13-1","TRQ-CTG5-1","5","5q33.1",NA,"q"
"37739","TRQ-CTG14-1","TRQ-CTG6-1","1","1p36.13",NA,"p"
"37740","TRQ-CTG15-1","TRQ-CTG7-1","9","9",NA,""
"37741","TRQ-CTG16-1","TRQ-CTG8-1","2","2q35",NA,"q"
"37742","TRQ-CTG17-1","TRQ-CTG8-2","20","20",NA,""
"37743","TRQ-CTG18-1","TRQ-CTG9-1","16","16",NA,""
"37744","TRQ-TTG1-1","TRQ-TTG1-1","17","17q21.32",NA,"q"
"37745","TRQ-TTG2-1","TRQ-TTG10-1","6","6",NA,""
"37746","TRQ-TTG3-1","TRQ-TTG2-1","6","6",NA,""
"37747","TRQ-TTG3-2","TRQ-TTG3-1","6","6",NA,""
"37748","TRQ-TTG3-3","TRQ-TTG3-2","6","6",NA,""
"37749","TRQ-TTG4-1","TRQ-TTG3-3","6","6",NA,""
"37750","TRQ-TTG5-1","TRQ-TTG4-1","2","2p21",NA,"p"
"37751","TRQ-TTG6-1","TRQ-TTG5-1","4","4",NA,""
"37752","TRQ-TTG7-1","TRQ-TTG6-1","5","5q14.1",NA,"q"
"37753","TRQ-TTG8-1","TRQ-TTG7-1","19","19p13.2",NA,"p"
"37754","TRQ-TTG9-1","TRQ-TTG8-1","12","12q23.1",NA,"q"
"37755","TRQ-TTG10-1","TRQ-TTG9-1","6","6",NA,""
"37756","TRR-ACG1-1","TRR-ACG1-1","6","6",NA,""
"37757","TRR-ACG1-2","TRR-ACG1-2","6","6p21.3",NA,"p"
"37758","TRR-ACG1-3","TRR-ACG1-3","14","14",NA,""
"37759","TRR-ACG2-1","TRR-ACG2-1","3","3",NA,""
"37760","TRR-ACG2-2","TRR-ACG2-2","6","6",NA,""
"37761","TRR-ACG2-3","TRR-ACG2-3","6","6",NA,""
"37762","TRR-ACG2-4","TRR-ACG2-4","6","6",NA,""
"37763","TRR-CCG1-1","TRR-CCG1-1","6","6",NA,""
"37764","TRR-CCG1-2","TRR-CCG1-2","6","6",NA,""
"37765","TRR-CCG1-3","TRR-CCG1-3","16","16",NA,""
"37766","TRR-CCG2-1","TRR-CCG2-1","17","17q24.2",NA,"q"
"37767","TRR-CCT1-1","TRR-CCT1-1","17","17",NA,""
"37768","TRR-CCT2-1","TRR-CCT2-1","17","17",NA,""
"37769","TRR-CCT3-1","TRR-CCT3-1","16","16",NA,""
"37770","TRR-CCT4-1","TRR-CCT4-1","7","7",NA,""
"37771","TRR-CCT5-1","TRR-CCT5-1","16","16",NA,""
"37772","TRR-CCT6-1","TRR-CCT6-1","1","1q21.1",NA,"q"
"37773","TRR-CCT6-2","TRR-CCT6-2","1","1q21.2",NA,"q"
"37774","TRR-CCT7-1","TRR-CCT7-1","1","1q21.2",NA,"q"
"37775","TRR-CCT8-1","TRR-CCT8-1","1","1q21.2",NA,"q"
"37776","TRR-CCT9-1","TRR-CCT9-1","11","11q13.1",NA,"q"
"37777","TRR-TCG1-1","TRR-TCG1-1","15","15",NA,""
"37778","TRR-TCG2-1","TRR-TCG2-1","6","6",NA,""
"37779","TRR-TCG3-1","TRR-TCG3-1","17","17",NA,""
"37780","TRR-TCG4-1","TRR-TCG4-1","6","6p22.1",NA,"p"
"37781","TRR-TCG5-1","TRR-TCG5-1","6","6",NA,""
"37782","TRR-TCG6-1","TRR-TCG6-1","9","9",NA,""
"37783","TRR-TCT1-1","TRR-TCT1-1","1","1",NA,""
"37784","TRR-TCT2-1","TRR-TCT2-1","17","17p13.1",NA,"p"
"37785","TRR-TCT3-1","TRR-TCT3-1","9","9",NA,""
"37786","TRR-TCT3-2","TRR-TCT3-2","11","11",NA,""
"37787","TRR-TCT4-1","TRR-TCT4-1","1","1",NA,""
"37788","TRR-TCT5-1","TRR-TCT5-1","6","6",NA,""
"37789","TRRAP","TRRAP","7","7q22.1","Q9Y4A5","q"
"37790","TRS-ACT1-1","TRS-ACT1-1","6","6p22.1",NA,"p"
"37791","TRS-AGA1-1","TRS-AGA1-1","6","6",NA,""
"37792","TRS-AGA2-1","TRS-AGA2-1","6","6",NA,""
"37793","TRS-AGA2-2","TRS-AGA2-2","6","6",NA,""
"37794","TRS-AGA2-3","TRS-AGA2-3","6","6p22.1",NA,"p"
"37795","TRS-AGA2-4","TRS-AGA2-4","6","6",NA,""
"37796","TRS-AGA2-5","TRS-AGA2-5","8","8",NA,""
"37797","TRS-AGA2-6","TRS-AGA2-6","17","17",NA,""
"37798","TRS-AGA3-1","TRS-AGA3-1","6","6p22.1",NA,"p"
"37799","TRS-AGA4-1","TRS-AGA4-1","6","6",NA,""
"37800","TRS-AGA5-1","TRS-AGA5-1","7","7",NA,""
"37801","TRS-AGA6-1","TRS-AGA6-1","11","11",NA,""
"37802","TRS-AGA7-1","TRS-AGA7-1","20","20q11.21",NA,"q"
"37803","TRS-CGA1-1","TRS-CGA1-1","17","17",NA,""
"37804","TRS-CGA2-1","TRS-CGA2-1","6","6",NA,""
"37805","TRS-CGA3-1","TRS-CGA3-1","6","6",NA,""
"37806","TRS-CGA4-1","TRS-CGA4-1","12","12",NA,""
"37807","TRS-GCT1-1","TRS-GCT1-1","6","6",NA,""
"37808","TRS-GCT2-1","TRS-GCT2-1","6","6",NA,""
"37809","TRS-GCT3-1","TRS-GCT3-1","11","11",NA,""
"37810","TRS-GCT4-1","TRS-GCT4-1","6","6",NA,""
"37811","TRS-GCT4-2","TRS-GCT4-2","15","15",NA,""
"37812","TRS-GCT4-3","TRS-GCT4-3","17","17",NA,""
"37813","TRS-GCT5-1","TRS-GCT5-1","6","6",NA,""
"37814","TRS-GCT6-1","TRS-GCT6-1","6","6",NA,""
"37815","TRS-TGA1-1","TRS-TGA1-1","10","10",NA,""
"37816","TRS-TGA2-1","TRS-TGA2-1","6","6p22.1",NA,"p"
"37817","TRS-TGA3-1","TRS-TGA3-1","6","6",NA,""
"37818","TRS-TGA4-1","TRS-TGA4-1","6","6p22.1",NA,"p"
"37819","TRSUP-CTA1-1","TRSUP-CTA1-1","17","17",NA,""
"37820","TRSUP-CTA2-1","TRSUP-CTA2-1","3","3p25.1",NA,"p"
"37821","TRSUP-CTA3-1","TRSUP-CTA3-1","14","14q24.3",NA,"q"
"37822","TRSUP-TTA1-1","TRSUP-TTA1-1","17","17q23.2",NA,"q"
"37823","TRSUP-TTA2-1","TRSUP-TTA2-1","21","21",NA,""
"37824","TRSUP-TTA3-1","TRSUP-TTA3-1","4","4p16.1",NA,"p"
"37825","TRT-AGT1-1","TRT-AGT1-1","17","17",NA,""
"37826","TRT-AGT1-2","TRT-AGT1-2","17","17",NA,""
"37827","TRT-AGT1-3","TRT-AGT1-3","19","19",NA,""
"37828","TRT-AGT2-1","TRT-AGT2-1","6","6",NA,""
"37829","TRT-AGT2-2","TRT-AGT2-2","6","6",NA,""
"37830","TRT-AGT3-1","TRT-AGT3-1","6","6",NA,""
"37831","TRT-AGT4-1","TRT-AGT4-1","6","6",NA,""
"37832","TRT-AGT5-1","TRT-AGT5-1","17","17",NA,""
"37833","TRT-AGT6-1","TRT-AGT6-1","6","6",NA,""
"37834","TRT-AGT7-1","TRT-AGT7-1","17","17q24.1",NA,"q"
"37835","TRT-CGT1-1","TRT-CGT1-1","6","6",NA,""
"37836","TRT-CGT2-1","TRT-CGT2-1","16","16",NA,""
"37837","TRT-CGT3-1","TRT-CGT3-1","6","6",NA,""
"37838","TRT-CGT4-1","TRT-CGT4-1","17","17",NA,""
"37839","TRT-CGT5-1","TRT-CGT5-1","6","6",NA,""
"37840","TRT-CGT6-1","TRT-CGT6-1","6","6",NA,""
"37841","TRT-TGT1-1","TRT-TGT1-1","6","6",NA,""
"37842","TRT-TGT2-1","TRT-TGT2-1","1","1",NA,""
"37843","TRT-TGT3-1","TRT-TGT3-1","14","14q11.2",NA,"q"
"37844","TRT-TGT4-1","TRT-TGT4-1","14","14",NA,""
"37845","TRT-TGT5-1","TRT-TGT5-1","14","14",NA,""
